Date,Country,Product,Population,Dose,NumberVaccinated,PercentCoverage,CumulativeNumberVaccinated,CumulativePercentCoverage,AgeBand
20210519,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,8056,"",1999315,"",All vaccinations
20210519,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,31797,"",935675,"",All vaccinations
20210519,S92000003,Moderna (Spikevax),"",Dose 1,176,"",18235,"",All vaccinations
20210519,S92000003,Moderna (Spikevax),"",Dose 2,4,"",13,"",All vaccinations
20210519,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,3583,"",1061701,"",All vaccinations
20210519,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,1835,"",822749,"",All vaccinations
20210519,S92000003,Total,"",Dose 1,11815,"",3079251,"",All vaccinations
20210519,S92000003,Total,4439078,Dose 1,11761,0.264942404706563,3071496,69.1922061292908,18 years and over
20210519,S92000003,Total,2875396,Dose 1,8289,0.288273336959501,2666193,92.7243760511596,40 years and over
20210519,S92000003,Total,4549217,Dose 1,11815,0.259715023486459,3079193,67.6862194087466,16 years and over
20210519,S92000003,Total,"",Dose 2,33636,"",1758437,"",All vaccinations
20210519,S92000003,Total,4439078,Dose 2,33598,0.756868881330763,1756056,39.5590255453948,18 years and over
20210519,S92000003,Total,2875396,Dose 2,27544,0.957920230813425,1567454,54.5126306080971,40 years and over
20210519,S92000003,Total,4549217,Dose 2,33636,0.739379985610711,1758427,38.6533990354824,16 years and over
20210520,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,7693,"",2007008,"",All vaccinations
20210520,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,28731,"",964406,"",All vaccinations
20210520,S92000003,Moderna (Spikevax),"",Dose 1,121,"",18356,"",All vaccinations
20210520,S92000003,Moderna (Spikevax),"",Dose 2,11,"",24,"",All vaccinations
20210520,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,5838,"",1067539,"",All vaccinations
20210520,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,1284,"",824033,"",All vaccinations
20210520,S92000003,Total,"",Dose 1,13652,"",3092903,"",All vaccinations
20210520,S92000003,Total,4439078,Dose 1,13574,0.305784219155419,3085070,69.4979903484462,18 years and over
20210520,S92000003,Total,2875396,Dose 1,8544,0.297141680658942,2674737,93.0215177318185,40 years and over
20210520,S92000003,Total,4549217,Dose 1,13651,0.300073617064211,3092844,67.9862930258108,16 years and over
20210520,S92000003,Total,"",Dose 2,30026,"",1788463,"",All vaccinations
20210520,S92000003,Total,4439078,Dose 2,29842,0.672256716372184,1785898,40.231282261767,18 years and over
20210520,S92000003,Total,2875396,Dose 2,24602,0.855603888994768,1592056,55.3682344970919,40 years and over
20210520,S92000003,Total,4549217,Dose 2,30025,0.660003688546842,1788452,39.3134027240292,16 years and over
20210521,S92000003,AstraZeneca (Vaxzevria),"",Dose 1,7140,"",2014148,"",All vaccinations
20210521,S92000003,AstraZeneca (Vaxzevria),"",Dose 2,30015,"",994421,"",All vaccinations
20210521,S92000003,Moderna (Spikevax),"",Dose 1,852,"",19208,"",All vaccinations
20210521,S92000003,Moderna (Spikevax),"",Dose 2,2,"",26,"",All vaccinations
20210521,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 1,5727,"",1073266,"",All vaccinations
20210521,S92000003,Pfizer BioNTech (Comirnaty),"",Dose 2,1211,"",825244,"",All vaccinations
20210521,S92000003,Total,"",Dose 1,13719,"",3106622,"",All vaccinations
20210521,S92000003,Total,4439078,Dose 1,13680,0.308172102405049,3098750,69.8061624508513,18 years and over
20210521,S92000003,Total,2875396,Dose 1,7696,0.267650090630995,2682433,93.2891678224495,40 years and over
20210521,S92000003,Total,4549217,Dose 1,13717,0.301524416179751,3106561,68.2878174419906,16 years and over
20210521,S92000003,Total,"",Dose 2,31228,"",1819691,"",All vaccinations
