Date,CA,CAName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,PositivePillar1,PositivePillar2
20200305,S12000026,Scottish Borders,0,0,0,0,0,0,0,1,38,32.97466157584172,1,0,0,0,1,0,0,0
20200305,S12000027,Shetland Islands,0,0,0,,0,0,0,1,2,8.745080891998251,2,0,0,,2,0,0,0
20200305,S12000028,South Ayrshire,0,0,0,0,0,0,0,4,20,17.834849295523455,5,0,0,0,5,0,0,0
20200305,S12000029,South Lanarkshire,0,0,0,0,0,0,0,10,81,25.247802506078173,13,0,0,0,13,0,0,0
20200305,S12000030,Stirling,0,0,0,0,0,0,0,3,39,41.45408163265306,4,0,0,0,4,0,0,0
20200305,S12000033,Aberdeen City,0,1,0.43656683838295646,0.43656683838295646,0,0,0,1,49,21.391775080764866,1,0,0,4.3478260869565215,1,0,0,0
20200305,S12000034,Aberdeenshire,0,1,0.3834649896464453,0.3834649896464453,0,0,0,4,53,20.3236444512616,8,1,12.5,6.451612903225806,8,0,1,0
20200305,S12000035,Argyll and Bute,0,0,0,0,0,0,0,2,11,12.876038862226386,2,0,0,0,2,0,0,0
20200305,S12000036,City of Edinburgh,0,1,0.18953034380804368,0.18953034380804368,0,0,0,15,214,40.55949357492135,23,1,4.3478260869565215,1.2987012987012987,23,0,1,0
20200305,S12000038,Renfrewshire,0,0,0,0,0,0,0,6,48,26.757344333574892,9,0,0,0,9,0,0,0
20200305,S12000039,West Dunbartonshire,0,1,1.1319900384876613,1.1319900384876613,0,0,0,7,37,41.88363142404347,10,0,0,5,10,0,0,0
20200305,S12000040,West Lothian,0,0,0,0,0,0,0,3,48,26.112501360026112,5,0,0,0,5,0,0,0
20200305,S12000041,Angus,0,1,0.8634087376964255,0.8634087376964255,0,0,0,7,44,37.989984458642724,14,2,14.285714285714285,20.930232558139537,14,0,2,0
20200305,S12000042,Dundee City,0,0,0,0,0,0,0,1,32,21.502486224969765,6,0,0,0,6,0,0,0
20200305,S12000045,East Dunbartonshire,0,0,0,0,0,0,0,3,30,27.586206896551726,8,0,0,0,8,0,0,0
20200305,S12000047,Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,8,102,27.263250741720793,9,0,0,3.3333333333333335,9,0,0,0
20200305,S12000048,Perth and Kinross,0,0,0,0,0,0,0,4,44,28.96451846488052,9,0,0,0,9,0,0,0
20200305,S12000049,Glasgow City,1,1,0.15732175445220564,0.15732175445220564,0,0,0,42,234,36.81329054181612,50,2,4,0.8130081300813009,50,0,2,0
20200305,S12000050,North Lanarkshire,1,1,0.2931347833733951,0.2931347833733951,0,0,0,11,75,21.98510875300463,18,1,5.555555555555555,1.2987012987012987,18,0,1,0
20200306,S12000005,Clackmannanshire,0,2,3.8993955936829794,3.8993955936829794,0,0,0,2,28,54.591538311561706,10,1,10,14.285714285714285,10,0,1,0
20200306,S12000006,Dumfries and Galloway,0,0,0,0,0,0,0,17,78,52.599635848674886,19,0,0,0,19,0,0,0
20200306,S12000008,East Ayrshire,0,0,0,0,0,0,0,4,30,24.67105263157895,4,0,0,0,4,0,0,0
20200306,S12000010,East Lothian,0,0,0,0,0,0,0,5,33,30.58387395736793,5,0,0,0,5,0,0,0
20200306,S12000011,East Renfrewshire,1,1,1.0410160316468873,1.0410160316468873,0,0,0,7,30,31.23048094940662,11,1,9.090909090909092,2.7777777777777777,11,0,1,0
20200306,S12000013,Na h-Eileanan Siar,0,0,0,,0,0,0,1,3,11.320754716981131,2,0,0,,2,0,0,0
