Date,HB,HBName,DailyPositive,CumulativePositive,CrudeRatePositive,CrudeRate7DayPositive,DailyDeaths,CumulativeDeaths,CrudeRateDeaths,DailyNegative,CumulativeNegative,CrudeRateNegative,TotalTests,PositiveTests,PositivePercentage,PositivePercentage7Day,TotalPillar1,TotalPillar2,HospitalAdmissions,HospitalAdmissionsQF,ICUAdmissions,ICUAdmissionsQF,PositivePillar1,PositivePillar2
20200306,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,7,108,28.86697137358672,13,1,7.6923076923076925,5.084745762711865,13,0,,:,,:,1,0
20200306,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,16,148,35.529948385547954,41,1,2.4390243902439024,5.228758169934641,41,0,,:,,:,1,0
20200306,S08000031,NHS Greater Glasgow and Clyde,1,3,0.25311329351017514,0.25311329351017514,0,0,0,71,468,39.485673787587324,101,1,0.9900990099009901,1.0121457489878543,101,0,,:,,:,1,0
20200306,S08000032,NHS Lanarkshire,1,2,0.30213305939935947,0.30213305939935947,0,0,0,22,184,27.796241464741072,32,1,3.125,1.1173184357541899,32,0,,:,,:,1,0
20200306,S92000003,Scotland,6,21,0.3841931942919868,0.3658982802780827,0,0,0,204,1845,33.75411635565313,324,12,3.7037037037037033,2.6599113362887903,324,0,21,"",,:,12,0
20200307,S08000015,NHS Ayrshire and Arran,1,2,0.5434930297018941,0.5434930297018941,0,0,0,8,102,27.7181445147966,15,1,6.666666666666667,3.125,15,0,,:,,:,1,0
20200307,S08000016,NHS Borders,0,0,0,0,0,0,0,2,45,39.048941339812565,2,0,0,0,2,0,,:,,:,0,0
20200307,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,7,85,57.32011598894059,7,0,0,0,7,0,,:,,:,0,0
20200307,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.9806164808943222,0,0,0,11,160,52.29954564769719,26,2,7.6923076923076925,5.9880239520958085,26,0,,:,,:,2,0
20200307,S08000020,NHS Grampian,2,6,1.0246776534881736,1.0246776534881736,0,0,0,9,145,24.76304329263086,15,3,20,11.363636363636363,15,0,,:,,:,3,0
20200307,S08000022,NHS Highland,0,0,0,0,0,0,0,6,76,23.68634295331297,6,0,0,0,6,0,,:,,:,0,0
20200307,S08000024,NHS Lothian,2,5,0.5479512104242238,0.5479512104242238,0,0,0,32,387,42.41142368683492,48,4,8.333333333333332,3.3457249070631967,48,0,,:,,:,4,0
20200307,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.25,0,0,0,0,0,0,,:,,:,0,0
20200307,S08000026,NHS Shetland,0,2,8.745080891998251,,0,0,0,2,4,17.490161783996502,2,0,0,,2,0,,:,,:,0,0
20200307,S08000028,NHS Western Isles,0,0,0,,0,0,0,0,3,11.320754716981131,0,0,0,,0,0,,:,,:,0,0
20200307,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,4,112,29.936118461497344,16,1,6.25,5.714285714285714,16,0,,:,,:,1,0
20200307,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,2,150,36.010082823190494,9,0,0,4.968944099378882,9,0,,:,,:,0,0
20200307,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,27,495,41.7636934291789,45,3,6.666666666666667,1.5717092337917484,45,0,,:,,:,3,0
20200307,S08000032,NHS Lanarkshire,1,3,0.45319958909903924,0.45319958909903924,0,0,0,21,205,30.968638588434345,27,3,11.11111111111111,2.564102564102564,27,0,,:,,:,3,0
20200307,S92000003,Scotland,6,27,0.49396267837541163,0.4756677643615075,0,0,0,131,1976,36.15075009147457,218,17,7.79816513761468,3.456356180433509,218,0,10,"",,:,17,0
20200308,S08000015,NHS Ayrshire and Arran,0,2,0.5434930297018941,0.5434930297018941,0,0,0,7,109,29.62037011875323,10,0,0,3.0303030303030303,10,0,,:,,:,0,0
20200308,S08000016,NHS Borders,0,0,0,0,0,0,0,5,50,43.38771259979174,5,0,0,0,5,0,,:,,:,0,0
20200308,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,5,90,60.6918875177018,7,0,0,0,7,0,,:,,:,0,0
20200308,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,11,171,55.89513941097636,28,4,14.285714285714285,6.878306878306878,28,0,,:,,:,4,0
20200308,S08000020,NHS Grampian,1,7,1.195457262402869,1.0246776534881736,0,0,0,6,151,25.787720946119038,14,4,28.57142857142857,13.684210526315791,14,0,,:,,:,4,0
20200308,S08000022,NHS Highland,0,0,0,0,0,0,0,7,83,25.867979804276008,7,0,0,0,7,0,,:,,:,0,0
20200308,S08000024,NHS Lothian,2,7,0.7671316945939134,0.7671316945939134,0,0,0,21,408,44.712818770616664,31,2,6.451612903225806,3.942652329749104,31,0,,:,,:,2,0
20200308,S08000025,NHS Orkney,0,0,0,0,0,0,0,0,7,31.25,0,0,0,0,0,0,,:,,:,0,0
20200308,S08000026,NHS Shetland,0,2,8.745080891998251,,0,0,0,1,5,21.862702229995627,1,0,0,,1,0,,:,,:,0,0
20200308,S08000028,NHS Western Isles,0,0,0,,0,0,0,1,4,15.09433962264151,1,0,0,,1,0,,:,,:,0,0
20200308,S08000029,NHS Fife,0,2,0.5345735439553096,0.5345735439553096,0,0,0,2,114,30.47069200545265,7,0,0,5.333333333333334,7,0,,:,,:,0,0
20200308,S08000030,NHS Tayside,0,1,0.24006721882126994,0,0,0,0,0,150,36.010082823190494,1,0,0,5.031446540880504,1,0,,:,,:,0,0
20200308,S08000031,NHS Greater Glasgow and Clyde,0,3,0.25311329351017514,0.25311329351017514,0,0,0,38,533,44.96979514697445,56,3,5.357142857142857,2.0484171322160147,56,0,,:,,:,3,0
20200308,S08000032,NHS Lanarkshire,0,3,0.45319958909903924,0.45319958909903924,0,0,0,9,214,32.32823735573146,24,4,16.666666666666664,4.30622009569378,24,0,,:,,:,4,0
20200308,S92000003,Scotland,3,30,0.5488474204171241,0.49396267837541163,0,0,0,113,2089,38.218075375045736,192,17,8.854166666666668,4.095185390149418,192,0,11,"",,:,17,0
20200309,S08000015,NHS Ayrshire and Arran,1,3,0.8152395445528412,0.5434930297018941,0,0,0,22,131,35.598793445474065,24,1,4.166666666666666,2.6548672566371683,24,0,,:,,:,1,0
20200309,S08000016,NHS Borders,1,1,0.8677542519958349,0.8677542519958349,0,0,0,12,62,53.80076362374175,15,1,6.666666666666667,3.0303030303030303,15,0,,:,,:,1,0
20200309,S08000017,NHS Dumfries and Galloway,0,0,0,0,0,0,0,15,105,70.80720210398543,22,0,0,0,22,0,,:,,:,0,0
20200309,S08000019,NHS Forth Valley,0,3,0.9806164808943222,0.6537443205962148,0,0,0,14,185,60.47134965514987,24,3,12.5,8.333333333333332,24,0,,:,,:,3,0
20200309,S08000020,NHS Grampian,0,7,1.195457262402869,1.0246776534881736,0,0,0,10,161,27.49551703526599,18,1,5.555555555555555,14.736842105263156,18,0,,:,,:,1,0
20200309,S08000022,NHS Highland,0,0,0,0,0,0,0,8,91,28.36127906251948,8,0,0,0,8,0,,:,,:,0,0
20200309,S08000024,NHS Lothian,3,10,1.0959024208484476,1.0959024208484476,0,0,0,102,510,55.89102346327083,136,8,5.88235294117647,5.205479452054795,136,0,,:,,:,8,0
